Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
National Highways Authority of India||RO-Mumbai - NHAI,NHAI/RO/MUM/SLP/BW/2023-24/06,2023_NHAI_158889_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"20,000",NHAI RO Mumbai,NHAI RO Mumbai,No,"1,03,00,000",Yes,fixed,NA,NHAI RO Mumbai,NHAI RO Mumbai,Construction of I ROB with approaches at Bhaiyachowk and SR on Sangli Solapur II VUP at Yawali incl SVUP on Pune Solapur PkgII III VUP with street light work on SolapurYedshi IV SR and widening of Box culvert on Akkalkot Solapur in Maharashtra on EPC,Construction of I ROB with approaches at Bhaiyachowk and SR on Sangli Solapur II VUP at Yawali incl SVUP on Pune Solapur PkgII III VUP with street light work on SolapurYedshi IV SR and widening of Box culvert on Akkalkot Solapur in Maharashtra on EPC,Please refer tender document,Independent Engineer / Project Director,"1,02,56,00,000",Civil Works,NA,Tender,120,525,Solapur,413304,Regional Office Mumbai,Regional Office Mumbai 4th Floor MTNL TE Building Sector 11 CBD Belapur Navi Mumbai 400614,25-Jul-2023 11:00 AM,Regional Office Mumbai,No,No,27-Jun-2023 11:00 AM,17-Oct-2023 11:30 AM,27-Jun-2023 11:00 AM,16-Oct-2023 11:00 AM,27-Jun-2023 11:00 AM,24-Jul-2023 11:00 AM,27-Jun-2023 11:00 AM,16-Oct-2023 11:00 AM,Chief General Manager Tech and RO Mumbai,Regional Office Mumbai 4th Floor MTNL TE Building Sector 11 CBD Belapur Navi Mumbai 400614
National Highways Authority of India||Head Office - NHAI||Administration - NHAI,NHAI/Finance/TOT/2023-24/ Bundle-13-14/E-206168,2023_NHAI_158686_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,11,000",NHAI,NEW DELHI,No,"11,10,00,000",No,fixed,NA,NHAI,NEW DELHI,Kota Bypass and Cable stay bridge on NH-76 in the State of Rajasthan and Gwalior-Jhansi section from km 0.000 to km 103.000 (revised section Km.16.000 to Km.98.455) of NH-75 (New NH-44) in the State of Madhya Pradesh and Uttar Pradesh,Kota Bypass and Cable stay bridge on NH-76 in the State of Rajasthan and Gwalior-Jhansi section from km 0.000 to km 103.000 (revised section Km.16.000 to Km.98.455) of NH-75 (New NH-44) in the State of Madhya Pradesh and Uttar Pradesh,Please refer Tender documents.,NA,0.00,Civil Works,NA,Tender,120,7300,NHAI HQ,110075,NHAI HQ,NHAI HQ,14-Jul-2023 11:00 AM,NHAI HQ,No,No,23-Jun-2023 12:34 PM,11-Oct-2023 11:30 AM,23-Jun-2023 06:10 PM,10-Oct-2023 11:00 AM,NA,NA,23-Jun-2023 06:15 PM,10-Oct-2023 11:00 AM,B M RAO,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/Ropeways/Nashik/2023,2023_NHAI_157655_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"40,000",NHAI,NEW DELHI,No,"7,53,00,000",No,fixed,NA,NHAI,NEW DELHI,Development Operation and Maintenance of Ropeway from Brahmagiri to Anjaneri Hills at Nashik in the State of Maharashtra on Hybrid Annuity Mode.,Development Operation and Maintenance of Ropeway from Brahmagiri to Anjaneri Hills at Nashik in the State of Maharashtra on Hybrid Annuity Mode.,Please refer Tender documents.,NA,"3,76,73,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,15-Jun-2023 06:30 PM,04-Oct-2023 11:30 AM,15-Jun-2023 06:30 PM,03-Oct-2023 11:00 AM,NA,NA,15-Jun-2023 06:30 PM,03-Oct-2023 11:00 AM,ASHEESH KUMAR JAIN,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/TECH/UKD/ Jhajra-Asharori/2023,2023_NHAI_157666_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"50,000",NHAI HQ,NEW DELHI,No,"4,38,00,000",No,fixed,NA,NHAI HQ,NEW DELHI,Development of Jhajra - Asharori Link Road (Design Ch 0.050 to Ch 12.220) in the State of Uttarakhand on EPC Mode,Development of Jhajra - Asharori Link Road (Design Ch 0.050 to Ch 12.220) in the State of Uttarakhand on EPC Mode,Please refer Tender documents.,NA,"4,38,62,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,15-Jun-2023 06:00 PM,21-Sep-2023 11:30 AM,15-Jun-2023 06:00 PM,20-Sep-2023 11:00 AM,NA,NA,15-Jun-2023 06:00 PM,20-Sep-2023 11:00 AM,Abhilash Kumar,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/11013/530B/PKG IV/HAM/B B/206250/2023/E 20625,2023_NHAI_157656_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,30,000",NHAI HQ,NEW DELHI,No,"12,04,00,000",No,fixed,NA,NHAI HQ,NEW DELHI,4L of NH530B from Chandan Nagar(Existing Km96.200 of NH530B Design Km.179.500) to Bareilly Bypass(End)(Existing Km267.000 of NH30 Design Km227.680) including Trumpet Interchange at end connecting NH30 in Uttar Pradesh on HAM(Pkg4),4L of NH530B from Chandan Nagar(Existing Km96.200 of NH530B Design Km.179.500) to Bareilly Bypass(End)(Existing Km267.000 of NH30 Design Km227.680) including Trumpet Interchange at end connecting NH30 in Uttar Pradesh on HAM(Pkg4),Please refer Tender documents.,NA,"12,03,55,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,15-Jun-2023 06:00 PM,22-Sep-2023 11:30 AM,15-Jun-2023 06:00 PM,21-Sep-2023 11:00 AM,NA,NA,15-Jun-2023 06:00 PM,21-Sep-2023 11:00 AM,Virender Sambyal,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/Vapi- Bodeli/ Gujarat/Pkg-IVA/2023,2023_NHAI_157545_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"70,000",NHAI HQ,NEW DELHI,No,"6,16,00,000",No,fixed,NA,NHAI HQ,NEW DELHI,Upgr./ Strengthening of Existing 2/4 Lane to 4 Lane Divided from Ch.132.320 (Existing 454.500) Dhamasiya in Naswade Taluka to Ch. 161.000 (Existing Km.484.300) in Jitnagar Village in Nandod Taluka (28.680) Section of NH-56 in Gujarat on HAM PKG IV(A),Upgr./ Strengthening of Existing 2/4 Lane to 4 Lane Divided from Ch.132.320 (Existing 454.500) Dhamasiya in Naswade Taluka to Ch. 161.000 (Existing Km.484.300) in Jitnagar Village in Nandod Taluka (28.680) Section of NH-56 in Gujarat on HAM PKG IV(A),Please refer Tender documents.,NA,"6,15,82,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,15-Jun-2023 12:00 PM,17-Oct-2023 03:30 PM,15-Jun-2023 12:05 PM,16-Oct-2023 03:00 PM,NA,NA,15-Jun-2023 12:10 PM,16-Oct-2023 03:00 PM,Mudit Garg,NHAI HQ
National Highways Authority of India||RO-Bhubaneswar - NHAI,NHAI/13012/103/RO/OD/2023,2023_NHAI_156809_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"50,000",NHAI,NHAI RO Bhubaneswar,No,"2,29,50,375",No,fixed,NA,NHAI,NHAI RO Bhubaneswar,Strengthening of Pavement with DBM and BC of Panikoili Rimuli section of NH 20 from km 0.000 to 60.000 in the state of Odisha,Strengthening of Pavement with DBM and BC of Panikoili Rimuli section of NH 20 from km 0.000 to 60.000 PKG 1 in the state of Odisha,Please refer to tender documents,NA,"2,29,50,37,454",Civil Works,NA,Tender,120,270,Keonjher,755043,NA,NA,NA,RO Bhubaneswar NHAI,No,No,08-Jun-2023 06:55 PM,04-Oct-2023 12:30 PM,08-Jun-2023 06:55 PM,03-Oct-2023 11:00 AM,NA,NA,08-Jun-2023 06:55 PM,03-Oct-2023 11:00 AM,"GM(Tech) and RO, Odisha","301 A, 3rd Floor, Pal Heights, Jaydev Vihar, Odisha"
National Highways Authority of India||RO-Bhubaneswar - NHAI,NHAI/13012/104/RO/OD/2023,2023_NHAI_156814_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"50,000",NHAI,NHAI RO Bhubaneswar,No,"1,52,70,336",No,fixed,NA,NHAI,NHAI RO Bhubaneswar,Strengthening of Pavement with DBM and BC of Panikoili Rimuli section of NH 20 from km 60.000 to 113.300 PKG II in the state of Odisha,Strengthening of Pavement with DBM and BC of Panikoili Rimuli section of NH 20 from km 60.000 to 113.300 PKG II in the state of Odisha,Please refer to tender documents,NA,"1,52,70,33,624",Civil Works,NA,Rate Contract,120,270,Keonjher,755043,NA,NA,NA,RO Bhubaneswar NHAI,No,No,08-Jun-2023 06:55 PM,04-Oct-2023 12:30 PM,08-Jun-2023 06:55 PM,03-Oct-2023 11:00 AM,NA,NA,08-Jun-2023 06:55 PM,03-Oct-2023 11:00 AM,"GM(tech) and RO, Odisha","301 A, 3rd Floor, Pal Heights, Jaydev Vihar , Odisha"
National Highways Authority of India||RO-Bhubaneswar - NHAI,NHAI/13012/104/RO/OD/1763/2023,2023_NHAI_156819_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"50,000",NHAI,NHAI Ro Bhubaneswar,No,"2,22,38,635",No,fixed,NA,NHAI,NHAI RO Bhubaneswar,Strengthening of Pavement with DBM and BC of Panikoili Rimuli section of NH 20 from km 113.300 to 166.173 PKG III in the state of Odisha,Strengthening of Pavement with DBM and BC of Panikoili Rimuli section of NH 20 from km 113.300 to 166.173 PKG III in the state of Odisha,Please refer to tender documents,NA,"2,22,38,63,495",Civil Works,NA,Tender,120,270,Keonjher,755043,NA,NA,NA,RO Bhubaneswar NHAI,No,No,08-Jun-2023 06:55 PM,04-Oct-2023 12:30 PM,08-Jun-2023 06:55 PM,03-Oct-2023 11:00 AM,NA,NA,08-Jun-2023 06:55 PM,03-Oct-2023 11:00 AM,"GM(tech) and RO, Odisha","301 A, 3rd Floor, Pal Heigths, Jaydev Vihar, Odisha"
National Highways Authority of India||RO-Nagpur - NHAI,NHAI/RO-NAG/TENDERS/2024-23/10,2023_NHAI_156635_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"20,000",National Highways Authority of India,Nagpur,No,"1,46,00,000",No,fixed,NA,National Highways Authority of India,Nagpur,Construction of Flyover at Kalode Square at Hinganghat in Wardha District from Km 74.740 to Km 75.787 including approaches on Borkhed-Jam-Wadner Section of NH-44 in the State of Maharashtra on EPC mode,Construction of Flyover at Kalode Square at Hinganghat in Wardha District from Km 74.740 to Km 75.787 including approaches on Borkhed-Jam-Wadner Section of NH-44 in the State of Maharashtra on EPC mode,Please refer Tender documents.,NA,NA,Civil Works - Bridges,NA,Tender,120,730,"NHAI, RO, Nagpur",440001,NA,NA,NA,"NHAI, RO, Nagpur",No,No,07-Jun-2023 03:35 PM,27-Sep-2023 12:00 PM,07-Jun-2023 03:40 PM,26-Sep-2023 11:00 AM,NA,NA,07-Jun-2023 04:00 PM,26-Sep-2023 11:00 AM,Prashant N. Pagrut,"NHAI, RO, Nagpur"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/Goa/NH-566/AE/2023,2023_NHAI_155678_1,Yes,Open Tender,EPC Contract,Services,2,No,No,Offline,No,No,No,"5,000",NHAI,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,CS of AE for Supervision of Construction of 4-lane flyover from MES College Junction to Bogmalo Junction on NH-566 from km7.106-km10.460 and 4 lane VUP at Queeny Nagar Junction from km3.330-km4.550 on EPC mode in the State of Goa under NH(O),CS of AE for Supervision of Construction of 4-lane flyover from MES College Junction to Bogmalo Junction on NH-566 from km7.106-km10.460 and 4 lane VUP at Queeny Nagar Junction from km3.330-km4.550 on EPC mode in the State of Goa under NH(O),Please refer Tender documents.,NA,0.00,Consultancy,NA,Tender,120,2160,NHAI HQ,110075,NHAI HQ,NHAI HQ,12-Jun-2023 11:00 AM,NHAI HQ,No,No,29-May-2023 06:30 PM,06-Oct-2023 11:30 AM,29-May-2023 06:35 PM,05-Oct-2023 11:00 AM,NA,NA,29-May-2023 06:40 PM,05-Oct-2023 11:00 AM,A K JAIN,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/Vapi-Bodeli/ Gujarat/Pkg-IVB/2023,2023_NHAI_154362_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,00,000",NHAI,NEW DELHI,No,"9,72,00,000",No,fixed,NA,NHAI,NEW DELHI,Upgradation/Strengthening of Existing 2Lane Carriageway to 4Lane Divided Carriageway from 161.000 (Existing Km. 484.300) in Jitnagar in Nandod Taluka to 179.780 (Existing Km. 506.660) in Bitada/Movi in Netrang Taluka of NH56 in Gujarat on HAM PKG 4B,Upgradation/Strengthening of Existing 2Lane Carriageway to 4Lane Divided Carriageway from 161.000 (Existing Km. 484.300) in Jitnagar in Nandod Taluka to 179.780 (Existing Km. 506.660) in Bitada/Movi in Netrang Taluka of NH56 in Gujarat on HAM PKG 4B,Please refer Tender documents.,NA,"9,71,85,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,17-May-2023 09:00 AM,17-Oct-2023 03:30 PM,17-May-2023 09:00 AM,16-Oct-2023 03:00 PM,NA,NA,17-May-2023 09:00 AM,16-Oct-2023 03:00 PM,MUDIT GARG,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/Gujarat/Vadodara Surat/Addl.Structures/2023,2023_NHAI_154237_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"90,000",NHAI,NEW DELHI,No,"8,60,00,000",No,fixed,NA,NHAI,NEW DELHI,Construction of Additional structures including approaches in Vadodara Surat section of NH48 between existing Km. 108.000 to Km. 250.000 in the State of Gujarat on EPC Mode,Construction of Additional structures including approaches in Vadodara Surat section of NH48 between existing Km. 108.000 to Km. 250.000 in the State of Gujarat on EPC Mode,Please refer Tender documents.,NA,"8,59,53,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,15-May-2023 06:55 PM,27-Oct-2023 03:30 PM,15-May-2023 06:55 PM,26-Oct-2023 03:00 PM,NA,NA,15-May-2023 06:55 PM,26-Oct-2023 03:00 PM,MUDIT GARG,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/PIU Raebareli/ NABandSAB/IE/ Etender,2023_NHAI_153764_1,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No,"5,000",NHAI HQ,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,IES for Supervision of i-Construction of 4-6 Lane Northern Ayodhya Bypass total length of 35.40 kms of Part-1 north of NH27 and Part2 south of NH27 ii-Construction of 4-6 Lane Southern Ayodhya Bypass from km 5.000 to km 37.172 of total length of 32.1,IES for Supervision of i-Construction of 4-6 Lane Northern Ayodhya Bypass total length of 35.40 kms of Part-1 north of NH27 and Part2 south of NH27 ii-Construction of 4-6 Lane Southern Ayodhya Bypass from km 5.000 to km 37.172 of total length of 32.1,Please refer Tender documents.,NA,"28,11,95,00,000",Consultancy,NA,Tender,120,1440,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,10-May-2023 06:00 PM,13-Oct-2023 11:30 AM,10-May-2023 06:00 PM,12-Oct-2023 11:00 AM,NA,NA,10-May-2023 06:00 PM,12-Oct-2023 11:00 AM,MK BANSAL,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/OD/AF/2022/E-147264,2023_NHAI_151714_1,Yes,Open Tender,EPC Contract,Works,2,No,No,Offline,No,No,No,"30,000",NHAI,NEW DELHI,No,"2,44,00,000",No,fixed,NA,NHAI,NEW DELHI,Construction of 6-lane Flyover at Ainthapali junction and a 2-Lane ROB (LHS) on NH-53 (Old NH-6) in Sambalpur on EPC mode in the State of Odisha,Construction of 6-lane Flyover at Ainthapali junction and a 2-Lane ROB (LHS) on NH-53 (Old NH-6) in Sambalpur on EPC mode in the State of Odisha,Please refer Tender documents.,NA,"2,44,32,00,000",Civil Works,NA,Tender,120,910,NHAI HQ,110075,NHAI HQ,NHAI HQ,02-May-2023 11:00 AM,NHAI HQ,No,No,14-Apr-2023 09:30 AM,22-Sep-2023 11:30 AM,14-Apr-2023 09:35 AM,21-Sep-2023 11:00 AM,NA,NA,14-Apr-2023 09:40 AM,21-Sep-2023 11:00 AM,RAJENDER KUMAR,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/11012/JH/IE/ Deoghar-Bypass/2022-23,2023_NHAI_151115_1,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No,"5,000",NHAI HQ,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,IE services for Construction of 4 Lane Bypass to NH114A Connecting NH-333 and NH-133(Deoghar Bypass) from design km 0.000 to design Km 49.000 Total Length 49.000 km in Jharkhand on HAM,IE services for Construction of 4 Lane Bypass to NH114A Connecting NH-333 and NH-133(Deoghar Bypass) from design km 0.000 to design Km 49.000 Total Length 49.000 km in Jharkhand on HAM,Please refer Tender documents.,NA,0.00,Miscellaneous Services,NA,Tender,120,1440,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,06-Apr-2023 02:00 PM,26-Sep-2023 11:30 AM,06-Apr-2023 02:00 PM,25-Sep-2023 11:00 AM,NA,NA,06-Apr-2023 02:00 PM,25-Sep-2023 11:00 AM,Ajay Gupta,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/Tech/MH/IE/S N A S  (Pkg -IV and V)/2023,2023_NHAI_149130_1,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No,"5,000",NHAI HQ,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,IE for 6 laning of Surat  Nashik  Ahmednagar  Solapur  MH/KNT Border Greenfield stretch(a) PKGIV from 107.000 (Ambegaon)to 146.000(Chehedi Khurdh) and (b)PKGV from 146.000(Chehedi Khurdh) to190.560 (Khandalwadi) in Maharashtra on HAM under BMP,IE for 6 laning of Surat  Nashik  Ahmednagar  Solapur  MH/KNT Border Greenfield stretch(a) PKGIV from 107.000 (Ambegaon)to 146.000(Chehedi Khurdh) and (b)PKGV from 146.000(Chehedi Khurdh) to190.560 (Khandalwadi) in Maharashtra on HAM under BMP,Please refer Tender documents.,NA,0.00,Consultancy,NA,Tender,120,1440,NHAI HQ,110075,NHAI HQ,NHAI HQ NEW DELHI -110075,29-Mar-2023 03:00 PM,NHAI HQ,No,No,16-Mar-2023 05:30 PM,31-Oct-2023 11:30 AM,16-Mar-2023 05:35 PM,30-Oct-2023 11:00 AM,NA,NA,16-Mar-2023 05:40 PM,30-Oct-2023 11:00 AM,Anoop Gahrana,NHAI HQ NEW DELHI -110075
National Highways Authority of India||RO-Patna - NHAI,NIT No- 178/RO-PATNA/NHAI/2022-23,2023_NHAI_148840_1,Yes,Open Tender,EPC Contract,Works,2,No,No,Offline,No,No,No,"10,000","NHAI, RO - Patna",RO - Patna,No,"56,80,000",No,fixed,NA,"NHAI, RO - Patna",RO - Patna,Construction of VUP at Sonho (Junction Point of SH 73 and NH 722) on  2-laning with Paved shoulder of Chhapra - Rewaghat -Muzaffarpur section of NH 102 (New NH -722) in the State of Bihar on EPC Mode.,Construction of VUP at Sonho (Junction Point of SH 73 and NH 722) on  2-laning with Paved shoulder of Chhapra - Rewaghat -Muzaffarpur section of NH 102 (New NH -722) in the State of Bihar on EPC Mode.,Please refer tender document.,NA,"56,80,00,000",Civil Works,NA,Tender,120,365,"NHAI, RO - Patna",800013,"NHAI, RO - Patna","Regional Office, National Highways Authority of India, Shivmitra Apartment, Vivekanand Marg, 1st Floor, Boring Road, Patna - 800013",18-Sep-2023 12:34 PM,"NHAI, RO - Patna",No,No,15-Mar-2023 12:34 PM,05-Oct-2023 12:30 PM,15-Mar-2023 10:05 AM,04-Oct-2023 11:00 AM,NA,NA,15-Mar-2023 10:10 AM,04-Oct-2023 11:00 AM,"Sh. Awadhesh Kumar, NHAI, R.O Patna","Regional Officer, National Highways Authority of India, Shivmitra Apartment, Vivekanand Marg, 1st Floor, Boring Road, Patna - 800013"
National Highways Authority of India||RO-Patna - NHAI,NIT No- 177/RO-PATNA/NHAI/2022-23,2023_NHAI_148768_1,Yes,Open Tender,EPC Contract,Works,2,No,No,Offline,No,No,No,"10,000","NHAI, RO - Patna",RO - Patna,No,"51,50,000",No,fixed,NA,"NHAI, RO - Patna",RO - Patna,Removal of at-grade junction near Repura at Garkha Bypass on  2-laning with Paved shoulder of Chhapra - Rewaghat -Muzaffarpur section of NH 102 (New NH -722) in the State of Bihar on EPC Mode,Removal of at-grade junction near Repura at Garkha Bypass on  2-laning with Paved shoulder of Chhapra - Rewaghat -Muzaffarpur section of NH 102 (New NH -722) in the State of Bihar on EPC Mode,Please refer tender document,NA,"51,49,00,000",Civil Works,NA,Tender,120,365,"NHAI, RO - Patna",800013,"NHAI, RO - Patna","Regional Office, National Highways Authority of India, Shivmitra Apartment, Vivekanand Marg, 1st Floor, Boring Road, Patna -800013",10-Apr-2023 11:00 AM,"NHAI, RO - Patna",No,No,14-Mar-2023 04:00 PM,05-Oct-2023 12:00 PM,14-Mar-2023 04:05 PM,04-Oct-2023 11:00 AM,NA,NA,14-Mar-2023 04:10 PM,04-Oct-2023 11:00 AM,"Sh. Awadhesh Kumar, NHAI, R.O Patna","Regional Officer, National Highways Authority of India, Shivmitra Apartment, Vivekanand Marg, 1st Floor, Boring Road, Patna -800013"
National Highways Authority of India||RO-Patna - NHAI,NIT No- 176/RO-PATNA/NHAI/2022-23,2023_NHAI_148761_1,Yes,Open Tender,EPC Contract,Works,2,No,No,Offline,No,No,No,"10,000","NHAI, RO - Patna",RO - Patna,No,"69,12,000",No,fixed,NA,"NHAI, RO - Patna",RO - Patna,Removal of at-grade junction near Akhtiyarpur at Garkha Bypass on  2-laning with Paved shoulder of Chhapra -Rewaghat -Muzaffarpur section of NH 102 (New NH -722) in the State of Bihar on EPC mode.,Removal of at-grade junction near Akhtiyarpur at Garkha Bypass on  2-laning with Paved shoulder of Chhapra -Rewaghat -Muzaffarpur section of NH 102 (New NH -722) in the State of Bihar on EPC mode.,Please refer tender documents.,NA,"69,12,00,000",Civil Works,NA,Tender,120,365,"NHAI, RO - Patna",800013,"NHAI, RO - Patna","Regional Office, National Highways Authority of India, Shivmitra Apartment, Vivekanand Marg, 1st Floor, Boring Road, Patna - 800013",10-Apr-2023 11:00 AM,"NHAI, RO - Patna",No,No,14-Mar-2023 03:30 PM,05-Oct-2023 11:30 AM,14-Mar-2023 03:35 PM,04-Oct-2023 11:00 AM,NA,NA,14-Mar-2023 03:40 PM,04-Oct-2023 11:00 AM,"Sh. Awadhesh Kumar, NHAI, R.O Patna","Regional Officer, National Highways Authority of India, Shivmitra Apartment, Vivekanand Marg, 1st Floor, Boring Road, Patna -800013"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/OD/RG/IE/ PKG-II/efile-190477,2023_NHAI_147599_1,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No,"5,000",NHAI,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,Independent Engineer Services for  Construction of new Six-lane Capital Region Ring Road from Rameswar (NH-16) to Gobindpur (NH-55) package-II from Design CH.40.700 to 70.995 (village Bilipada to Gobindpur) in the State of Odisha under BMP on HAM,Independent Engineer Services for  Construction of new Six-lane Capital Region Ring Road from Rameswar (NH-16) to Gobindpur (NH-55) package-II from Design CH.40.700 to 70.995 (village Bilipada to Gobindpur) in the State of Odisha under BMP on HAM,Please refer Tender documents.,NA,0.00,Consultancy,NA,Tender,120,1460,NHAI HQ,110075,NHAI HQ,NHAI HQ,22-Mar-2023 11:00 AM,NHAI HQ,No,No,02-Mar-2023 04:50 PM,13-Oct-2023 11:30 AM,02-Mar-2023 04:55 PM,12-Oct-2023 11:00 AM,NA,NA,02-Mar-2023 05:00 PM,12-Oct-2023 11:00 AM,RAJENDER KUMAR,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/OD/RG/IE/ PKG-I/efile-190164,2023_NHAI_147593_1,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No,"5,000",NHAI,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,Independent Engineer Services for Construction of new Six-lane Capital Region Ring Road from Rameswar (NH-16) to Gobindpur (NH-55) from Design chainage Km.0.000 to Km.40.700 in the State of Odisha under BMP on HAM (Package-I),Independent Engineer Services for Construction of new Six-lane Capital Region Ring Road from Rameswar (NH-16) to Gobindpur (NH-55) from Design chainage Km.0.000 to Km.40.700 in the State of Odisha under BMP on HAM (Package-I),Please refer Tender documents.,NA,0.00,Consultancy,NA,Tender,120,1460,NHAI HQ,110075,NHAI HQ,NHAI HQ,22-Mar-2023 11:00 AM,NHAI HQ,No,No,02-Mar-2023 04:35 PM,13-Oct-2023 11:30 AM,02-Mar-2023 04:40 PM,12-Oct-2023 11:00 AM,NA,NA,02-Mar-2023 04:45 PM,12-Oct-2023 11:00 AM,RAJENDER KUMAR,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/RO-VJA/Nellore/2023,2023_NHAI_147160_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"25,000","NHAI, RO-Vijayawada","NHAI, RO-Vijayawada",No,"80,000",No,fixed,NA,"NHAI, RO-Vijayawada","NHAI, RO-Vijayawada",Rehabilitation and strengthening of Distressed MJB 649/1 on NH-67 near kadirinayudupalli village at Km 648.030 to Km 648.190 in the State of Andhra Pradesh,Rehabilitation and strengthening of Distressed MJB 649/1 on NH-67 near kadirinayudupalli village at Km 648.030 to Km 648.190 in the State of Andhra Pradesh,Please refer Tender documents.,NA,"4,00,05,000",Civil Works,NA,Tender,120,90,Nellore,524004,NA,NA,NA,RO-Vijayawada,No,No,27-Feb-2023 06:55 PM,05-Oct-2023 11:30 AM,27-Feb-2023 06:55 PM,04-Oct-2023 03:00 PM,NA,NA,28-Feb-2023 09:00 AM,04-Oct-2023 03:00 PM,Regional Officer,"Regional Officer,
National Highways Authority of India
Regional Office - Vijayawada
Door No.41-29-45A, R.S.No.373/2A
Near Kodandaramalayam
Chalasani Nagar, Ranigarithota
Krishnalanka
Vijayawada - 520 013"
